scenario_seed,scenario_hash,generated,completed,abandoned,unfinished,unique_denied,waiting_pm,onboard_pm,crowding_pm,active_bus_min,deadhead_bus_min,excessive_wait_pm,first_denied_count,abandoned_count,mission_changes,terminal_unfinished_count,total_cost,total_cost_core,reward,mean_wait,p95_wait,completed_share,abandoned_share,unfinished_share,unique_denied_share,excessive_wait_share,censored_share,worst_route_id,worst_route_mean_wait,mean_headway_s,p95_headway_s,gap20_count,headway_target_violations,reserve_dispatches,reassigns,short_turns,recalls,decisions,wall_s,scenario_index,method,model_seed,split
4753028982593379722,f63010faac448e947e6dc6b6aff5b692a828d51a282c21d7a59fe3b9da6bf898,1750,1750,0,0,0,13123.5,11215.0,9.0,2160.0,0.0,128.5,0,0,0,0,17140.25,17140.25,-5.713416666666668,7.499142857142857,15.0,1.0,0.0,0.0,0.0,0.056,0.0,2,7.572274881516588,914.6666666666666,960.0,2,8,0,0,0,0,120,0.4459617569991678,35,fixed,,validation
1953131648883091997,fc4177c21054eb02b31f9bae9aca03cb4725272c3f38ee6f02f41367b8b904cf,1565,1565,0,0,0,11858.0,10055.0,0.0,2160.0,0.0,125.5,0,0,0,0,15577.25,15577.25,-5.192416666666667,7.576996805111821,15.0,1.0,0.0,0.0,0.0,0.0664536741214057,0.0,0,7.855491329479769,915.0,960.0,2,11,0,0,0,0,120,0.4123268660005124,36,fixed,,validation
3735538421639015564,776748ddd118ca42fa1f2ce78a52a047b687f444276b33f8eca069d1f0513971,1738,1738,0,0,0,13479.5,11547.5,14.0,2160.0,0.0,132.0,0,0,0,0,17585.375,17585.375,-5.861791666666672,7.755753739930955,15.0,1.0,0.0,0.0,0.0,0.0701956271576524,0.0,1,7.954736842105263,915.0,976.5,2,7,0,0,0,0,120,0.4729798209991713,37,fixed,,validation
12974285521474756459,b1c1dc07ac8f13a6bb93210f7a6b65bed36a6d708e427af525c9e079975dee5d,1703,1703,0,0,0,12862.0,10946.5,0.0,2160.0,0.0,86.5,0,0,0,0,16765.125,16765.125,-5.5883750000000045,7.552554315913095,15.0,1.0,0.0,0.0,0.0,0.0616559013505578,0.0,1,7.620357634112792,916.0,992.9999999999998,2,12,0,0,0,0,120,0.4496321440019528,38,fixed,,validation
15923605305336745228,bf89ccc5e15fa5949164ef582a8285245b8d8aa8decf5349af0d661d8776f44b,1534,1534,0,0,0,11080.0,9604.0,0.0,2160.0,0.0,74.0,0,0,0,0,14635.0,14635.0,-4.8783333333333365,7.222946544980443,14.5,1.0,0.0,0.0,0.0,0.0482398956975228,0.0,1,7.403937007874016,913.6666666666666,960.0,1,12,0,0,0,0,120,0.4072113030015316,39,fixed,,validation
5391785825108490336,c72668e4f6649a70dd0220925e33a435cee1a25df2b3ab7a10fc9e6aaa6f7aa4,1757,1757,0,0,0,13154.0,11232.0,0.0,2160.0,0.0,111.5,0,0,0,0,17153.5,17153.5,-5.7178333333333375,7.486624928856004,15.0,1.0,0.0,0.0,0.0,0.0677290836653386,0.0,1,7.551633986928104,913.3333333333334,946.5,1,8,0,0,0,0,120,0.4491207110004325,40,fixed,,validation
9945022509052842089,5797572ea0e47cac91b9e784cf056b40a5ddb1d38f8fc02ee5db904457c0ab6f,1704,1704,0,0,0,12623.5,10980.0,0.0,2160.0,0.0,86.0,0,0,0,0,16534.5,16534.5,-5.511500000000004,7.408157276995305,14.924999999999956,1.0,0.0,0.0,0.0,0.0504694835680751,0.0,0,7.556985294117647,913.6666666666666,976.5,0,9,0,0,0,0,120,0.4434196939982939,41,fixed,,validation
5379672141699874778,d6d48e186b6515b2835726de03575c2573d867220548f0d57f0e47ae13720267,1655,1655,0,0,0,12281.5,10318.0,0.0,2160.0,0.0,97.5,0,0,0,0,16038.5,16038.5,-5.346166666666666,7.420845921450151,15.0,1.0,0.0,0.0,0.0,0.0525679758308157,0.0,0,7.57975986277873,914.0,930.0,3,8,0,0,0,0,120,0.4325914439978078,42,fixed,,validation
2792574491178042836,138f2b4b1062147da9edfd2b8ee3f5a297edab274d959100e3efe4b6c55fbd73,1478,1478,0,0,0,10797.0,9406.0,0.0,2160.0,0.0,70.5,0,0,0,0,14299.0,14299.0,-4.766333333333336,7.305142083897159,14.5,1.0,0.0,0.0,0.0,0.0487144790257104,0.0,0,7.553435114503816,914.0,976.5,0,10,0,0,0,0,120,0.4034380009979941,43,fixed,,validation
16295273536169609366,bc3a310d08f4ce4fa5d303e6de0dd0ccad6a7c53c4b6c787aa005241a4680e26,1728,1728,0,0,0,13047.0,11141.0,0.0,2160.0,0.0,138.0,0,0,0,0,17050.25,17050.25,-5.683416666666672,7.550347222222222,15.0,1.0,0.0,0.0,0.0,0.058449074074074,0.0,0,7.744208494208494,914.0,976.5,1,9,0,0,0,0,120,0.4402597570006037,44,fixed,,validation
