arm,split,scenario_seed,arm_cost,core_cost,delta
no_reassign,test_id,1488811017099118710,12600.916666666666,12635.458333333334,-34.54166666666788
no_reassign,test_id,1747658117807184771,13517.25,13331.166666666666,186.08333333333394
no_reassign,test_id,1826339983644462054,13852.291666666666,13889.75,-37.45833333333394
no_reassign,test_id,2079761612640130283,13083.333333333334,12736.208333333334,347.125
no_reassign,test_id,2135968480461850438,12128.625,12162.0,-33.375
no_reassign,test_id,2227532287765432078,12921.458333333334,13041.291666666666,-119.83333333333212
no_reassign,test_id,2330819670440737489,13585.333333333334,13330.875,254.45833333333394
no_reassign,test_id,2338391690283814063,12566.791666666666,12659.291666666666,-92.5
no_reassign,test_id,2638716893094588698,11784.75,11906.916666666666,-122.16666666666606
no_reassign,test_id,2825129229189097861,13381.791666666666,13454.5,-72.70833333333394
no_reassign,test_id,3001142345323536348,13706.791666666666,13662.5,44.29166666666606
no_reassign,test_id,3023036303599689662,12102.458333333334,12121.083333333334,-18.625
no_reassign,test_id,3072096485091439273,13106.5,13025.208333333334,81.29166666666606
no_reassign,test_id,3177623794013919304,13864.791666666666,13786.583333333334,78.20833333333212
no_reassign,test_id,3207695120228542543,12725.666666666666,12582.0,143.66666666666606
no_reassign,test_id,3288027902474862342,13560.583333333334,13509.041666666666,51.54166666666788
no_reassign,test_id,3442309198535435931,12731.541666666666,12528.708333333334,202.83333333333212
no_reassign,test_id,3601060272127082938,13147.666666666666,13022.916666666666,124.75
no_reassign,test_id,3990822207018934749,13243.166666666666,13239.583333333334,3.5833333333321207
no_reassign,test_id,4040718206247269609,12635.041666666666,12678.833333333334,-43.79166666666788
no_reassign,test_id,4299384479813449028,13202.958333333334,13075.041666666666,127.91666666666788
no_reassign,test_id,4600059188730498341,13876.5,13524.958333333334,351.54166666666606
no_reassign,test_id,4814367847228228131,11975.75,11974.0,1.75
no_reassign,test_id,4814500026110208068,12424.958333333334,12388.291666666666,36.66666666666788
no_reassign,test_id,4843091016540364597,13636.125,13520.833333333334,115.29166666666606
no_reassign,test_id,4843540547705516998,14030.375,13830.916666666666,199.45833333333394
no_reassign,test_id,4846751680750233300,12810.916666666666,12636.0,174.91666666666606
no_reassign,test_id,5067743257267350029,14461.375,14563.791666666666,-102.41666666666606
no_reassign,test_id,5076765524824866930,13624.875,13532.625,92.25
no_reassign,test_id,5136953124049734161,14389.291666666666,14354.416666666666,34.875
no_reassign,test_id,5231339592948217428,12775.583333333334,12684.625,90.95833333333394
no_reassign,test_id,5242738660310025353,12943.875,13055.0,-111.125
no_reassign,test_id,5335183855303453762,12775.5,12660.875,114.625
no_reassign,test_id,5355973822224518279,13084.666666666666,12953.25,131.41666666666606
no_reassign,test_id,5531208800595282592,12192.708333333334,12133.708333333334,59.0
no_reassign,test_id,5818107909693561120,14402.291666666666,14188.083333333334,214.20833333333212
no_reassign,test_id,5874776132901884234,12962.25,12755.416666666666,206.83333333333394
no_reassign,test_id,5965612660975643249,13193.625,13287.416666666666,-93.79166666666606
no_reassign,test_id,5999605528679145175,12676.541666666666,12737.125,-60.58333333333394
no_reassign,test_id,6031988743158060525,14310.666666666666,14029.958333333334,280.7083333333321
no_reassign,test_id,6164835698915797152,12521.458333333334,12330.041666666666,191.41666666666788
no_reassign,test_id,6188631964719443387,12776.291666666666,12770.958333333334,5.333333333332121
no_reassign,test_id,6200301701577231853,12873.625,12734.375,139.25
no_reassign,test_id,6240339341033692605,12804.75,12771.708333333334,33.04166666666606
no_reassign,test_id,6285386589435504559,13417.833333333334,13128.625,289.20833333333394
no_reassign,test_id,6300082838632318686,14777.833333333334,14971.833333333334,-194.0
no_reassign,test_id,6318290092094100284,13342.041666666666,13252.583333333334,89.45833333333212
no_reassign,test_id,6381903567806952071,13233.958333333334,13022.416666666666,211.54166666666788
no_reassign,test_id,6437801934742152846,13098.625,13079.166666666666,19.45833333333394
no_reassign,test_id,6440635985804650651,13476.875,13648.625,-171.75
no_reassign,test_id,6459892323229533573,12600.333333333334,12462.541666666666,137.79166666666788
no_reassign,test_id,6480348505334585175,13175.708333333334,12801.041666666666,374.6666666666679
no_reassign,test_id,6658419273829967376,13613.458333333334,13633.083333333334,-19.625
no_reassign,test_id,6727498104288017096,13908.458333333334,14005.416666666666,-96.95833333333212
no_reassign,test_id,6813112702512013042,12559.958333333334,12592.208333333334,-32.25
no_reassign,test_id,6831239936152078904,13157.083333333334,12999.458333333334,157.625
no_reassign,test_id,6937402215942610422,13307.083333333334,13185.375,121.70833333333394
no_reassign,test_id,6943767945109221491,12972.125,12860.291666666666,111.83333333333394
no_reassign,test_id,6974463590753289003,14117.708333333334,14303.625,-185.91666666666606
no_reassign,test_id,7032390534166742463,13505.541666666666,13609.875,-104.33333333333394
no_reassign,test_id,7150023921575794648,13022.833333333334,12905.25,117.58333333333394
no_reassign,test_id,7223424139783500665,12490.916666666666,12312.041666666666,178.875
no_reassign,test_id,7246810858100273636,14060.791666666666,13715.375,345.41666666666606
no_reassign,test_id,7266534895892094928,13554.041666666666,13431.833333333334,122.20833333333212
no_reassign,test_id,7318848004565778274,13481.583333333334,13461.0,20.58333333333394
no_reassign,test_id,7343201283149268525,14212.833333333334,14045.125,167.70833333333394
no_reassign,test_id,7492256063000886018,13975.0,13889.5,85.5
no_reassign,test_id,7769087513739175562,14080.333333333334,14168.166666666666,-87.83333333333212
no_reassign,test_id,7812948724450599551,13465.958333333334,13638.916666666666,-172.95833333333212
no_reassign,test_id,7941005969573723106,13924.875,14037.291666666666,-112.41666666666606
no_reassign,test_id,7994495319001773371,13459.458333333334,13356.0,103.45833333333394
no_reassign,test_id,8002502887718539983,12471.666666666666,12527.333333333334,-55.66666666666788
no_reassign,test_id,8068489546111060168,12581.458333333334,12569.458333333334,12.0
no_reassign,test_id,8105839362151262210,12972.916666666666,12952.166666666666,20.75
no_reassign,test_id,8148161821725028583,12291.208333333334,12104.0,187.20833333333394
no_reassign,test_id,8399837693683642132,13929.958333333334,13717.75,212.20833333333394
no_reassign,test_id,8418104038375390150,12208.0,12316.125,-108.125
no_reassign,test_id,8580737487405233450,13367.166666666666,13333.791666666666,33.375
no_reassign,test_id,8879843783195224153,14276.625,14374.541666666666,-97.91666666666606
no_reassign,test_id,9304397133270680779,12240.416666666666,12054.25,186.16666666666606
no_reassign,test_id,9594202665088114006,13716.208333333334,13847.333333333334,-131.125
no_reassign,test_id,9829409980487691731,12372.166666666666,12303.291666666666,68.875
